loan_id,original_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,origination_month
L_0055,741400.0,5.56,700-759,<60%,<20%,TX,Purchase,Investment,Condo,Servicer D,2023-03-31
L_0056,116400.0,7.65,<640,60-80%,<20%,CA,Cash-out Refinance,Primary,Single Family,Servicer A,2023-02-27
L_0057,197000.0,6.33,700-759,60-80%,20-30%,MI,Purchase,Primary,Single Family,Servicer C,2023-02-23
L_0058,83900.0,5.64,<640,80-90%,30-40%,TX,Purchase,Primary,Single Family,Servicer A,2023-01-12
L_0059,294000.0,3.03,<640,60-80%,<20%,OH,Cash-out Refinance,Primary,Multi-family,Servicer D,2023-01-14
L_0060,341500.0,5.88,<640,60-80%,30-40%,FL,Purchase,Investment,Single Family,Servicer A,2023-05-01
L_0061,253500.0,7.95,700-759,>90%,20-30%,MI,Refinance,Investment,Single Family,Servicer D,2023-06-11
L_0062,671600.0,3.27,700-759,80-90%,20-30%,TX,Purchase,Primary,Single Family,Servicer A,2023-05-01
L_0063,317600.0,5.35,700-759,60-80%,20-30%,OH,Purchase,Investment,Single Family,Servicer C,2023-01-20
L_0064,260700.0,7.33,760+,<60%,20-30%,TX,Cash-out Refinance,Primary,Single Family,Servicer C,2023-03-16
L_0065,457000.0,6.57,640-699,<60%,30-40%,FL,Purchase,Secondary,Single Family,Servicer A,2023-05-24
L_0066,155700.0,6.33,640-699,60-80%,<20%,OH,Refinance,Primary,Condo,Servicer A,2023-03-11
L_0067,651600.0,6.36,760+,<60%,<20%,NY,Purchase,Primary,Single Family,Servicer C,2023-02-25
L_0068,105900.0,4.48,640-699,<60%,>40%,CA,Purchase,Primary,Single Family,Servicer D,2023-04-11
L_0069,790200.0,4.11,760+,60-80%,>40%,IL,Purchase,Primary,Condo,Servicer C,2023-05-12
L_0070,629200.0,6.95,<640,<60%,20-30%,NC,Refinance,Primary,Townhouse,Servicer D,2023-04-21
L_0071,199000.0,6.96,760+,80-90%,20-30%,GA,Purchase,Primary,Single Family,Servicer A,2023-05-05
L_0072,54100.0,7.27,<640,<60%,30-40%,NC,Refinance,Primary,Single Family,Servicer A,2023-05-12
L_0073,661600.0,7.52,760+,60-80%,20-30%,MI,Purchase,Secondary,Single Family,Servicer D,2023-01-20
L_0074,580100.0,5.31,700-759,60-80%,<20%,NC,Cash-out Refinance,Primary,Multi-family,Servicer A,2023-05-18
L_0075,596800.0,5.26,760+,>90%,<20%,OH,Purchase,Primary,Townhouse,Servicer D,2023-01-24
L_0076,628500.0,6.89,<640,<60%,30-40%,NY,Refinance,Investment,Single Family,Servicer B,2023-06-03
L_0077,105500.0,6.07,700-759,60-80%,30-40%,IL,Refinance,Primary,Condo,Servicer C,2023-02-06
L_0078,318800.0,6.36,760+,>90%,<20%,CA,Refinance,Primary,Single Family,Servicer B,2023-02-23
L_0079,136900.0,6.88,700-759,80-90%,20-30%,CA,Refinance,Primary,Single Family,Servicer D,2023-04-13
L_0080,697300.0,7.4,700-759,80-90%,20-30%,FL,Refinance,Secondary,Single Family,Servicer C,2023-05-29
L_0081,517500.0,4.36,700-759,60-80%,30-40%,GA,Refinance,Primary,Condo,Servicer D,2023-02-07
L_0082,298200.0,4.57,700-759,<60%,<20%,TX,Purchase,Primary,Single Family,Servicer C,2023-06-23
L_0083,97700.0,3.02,700-759,80-90%,<20%,NY,Purchase,Secondary,Condo,Servicer C,2023-01-04
L_0084,283200.0,5.68,700-759,>90%,30-40%,TX,Cash-out Refinance,Investment,Condo,Servicer C,2023-02-26
L_0085,293900.0,2.7,760+,60-80%,<20%,IL,Refinance,Primary,Condo,Servicer C,2023-06-22
L_0086,597200.0,5.06,<640,60-80%,30-40%,NC,Refinance,Primary,Single Family,Servicer D,2023-01-20
L_0087,528200.0,5.48,640-699,60-80%,20-30%,CA,Purchase,Primary,Single Family,Servicer C,2023-01-17
L_0088,715400.0,4.08,760+,80-90%,<20%,IL,Purchase,Secondary,Single Family,Servicer C,2023-04-29
L_0089,404200.0,5.75,760+,<60%,20-30%,NC,Purchase,Primary,Single Family,Servicer B,2023-03-12
L_0090,139700.0,2.67,700-759,60-80%,30-40%,CA,Refinance,Primary,Single Family,Servicer A,2023-01-04
L_0091,584900.0,2.71,700-759,60-80%,>40%,NC,Purchase,Investment,Townhouse,Servicer A,2023-01-14
L_0092,620600.0,7.02,640-699,60-80%,30-40%,GA,Purchase,Primary,Single Family,Servicer B,2023-01-03
L_0093,471000.0,4.48,640-699,60-80%,20-30%,NY,Purchase,Primary,Single Family,Servicer B,2023-03-21
L_0094,628200.0,3.2,700-759,<60%,30-40%,MI,Purchase,Primary,Single Family,Servicer D,2023-02-24
L_0095,420300.0,5.37,640-699,80-90%,20-30%,IL,Purchase,Primary,Single Family,Servicer D,2023-05-12
L_0096,442000.0,6.73,700-759,60-80%,20-30%,IL,Purchase,Primary,Single Family,Servicer D,2023-04-30
L_0097,370700.0,3.69,<640,60-80%,>40%,PA,Refinance,Primary,Single Family,Servicer B,2023-01-24
L_0098,69100.0,5.93,760+,<60%,<20%,OH,Purchase,Primary,Townhouse,Servicer B,2023-06-11
L_0099,130900.0,2.97,760+,60-80%,<20%,GA,Purchase,Primary,Single Family,Servicer C,2023-06-07
L_0100,73600.0,2.78,700-759,60-80%,20-30%,GA,Purchase,Investment,Multi-family,Servicer D,2023-03-23
L_0101,527300.0,5.42,700-759,<60%,<20%,TX,Purchase,Primary,Townhouse,Servicer D,2023-05-27
L_0102,285800.0,5.47,640-699,60-80%,<20%,NC,Purchase,Investment,Single Family,Servicer D,2023-06-08
L_0103,431400.0,6.01,760+,<60%,30-40%,OH,Purchase,Primary,Townhouse,Servicer A,2023-03-01
L_0104,730700.0,6.49,700-759,<60%,20-30%,NY,Refinance,Secondary,Single Family,Servicer C,2023-05-27
L_0105,237000.0,7.87,640-699,>90%,>40%,NY,Purchase,Secondary,Condo,Servicer D,2023-02-18
L_0106,357800.0,5.34,760+,60-80%,30-40%,GA,Refinance,Primary,Single Family,Servicer D,2023-03-04
L_0107,616700.0,4.28,760+,80-90%,20-30%,NY,Refinance,Secondary,Townhouse,Servicer D,2023-04-20
L_0108,221600.0,6.87,760+,60-80%,20-30%,PA,Refinance,Secondary,Townhouse,Servicer A,2023-05-30
L_0109,107700.0,3.99,700-759,80-90%,20-30%,IL,Purchase,Primary,Condo,Servicer A,2023-06-01
L_0110,267300.0,4.91,700-759,80-90%,30-40%,FL,Purchase,Primary,Condo,Servicer B,2023-04-19
L_0111,170900.0,2.93,700-759,60-80%,20-30%,MI,Purchase,Primary,Single Family,Servicer C,2023-03-17
L_0112,747300.0,2.64,760+,60-80%,30-40%,TX,Purchase,Secondary,Single Family,Servicer B,2023-01-30
L_0113,656100.0,7.79,760+,60-80%,20-30%,NC,Cash-out Refinance,Secondary,Single Family,Servicer C,2023-02-27
L_0114,525100.0,7.1,<640,60-80%,30-40%,MI,Purchase,Secondary,Single Family,Servicer A,2023-04-27
L_0115,703600.0,6.33,<640,>90%,20-30%,NC,Purchase,Primary,Single Family,Servicer D,2023-06-08
L_0116,652800.0,4.75,640-699,80-90%,20-30%,CA,Refinance,Secondary,Single Family,Servicer B,2023-04-10
L_0117,189900.0,3.45,760+,>90%,>40%,MI,Refinance,Primary,Multi-family,Servicer D,2023-01-19
L_0118,719400.0,3.36,760+,<60%,30-40%,FL,Purchase,Primary,Single Family,Servicer B,2023-06-25
L_0119,454500.0,3.88,640-699,80-90%,<20%,GA,Purchase,Primary,Condo,Servicer A,2023-06-22
L_0120,655600.0,5.52,700-759,>90%,>40%,PA,Purchase,Primary,Single Family,Servicer A,2023-04-04
L_0121,722100.0,6.43,640-699,<60%,20-30%,IL,Purchase,Primary,Townhouse,Servicer A,2023-04-23
L_0122,288500.0,6.13,760+,<60%,>40%,IL,Purchase,Primary,Townhouse,Servicer B,2023-05-26
L_0123,132500.0,4.04,760+,80-90%,30-40%,PA,Purchase,Primary,Single Family,Servicer C,2023-03-04
L_0124,221000.0,7.75,760+,60-80%,20-30%,OH,Purchase,Primary,Single Family,Servicer B,2023-04-26
L_0125,370300.0,6.56,700-759,80-90%,<20%,CA,Purchase,Primary,Condo,Servicer C,2023-04-23
L_0126,663500.0,5.55,700-759,<60%,20-30%,NC,Purchase,Primary,Single Family,Servicer B,2023-02-16
L_0127,695500.0,5.86,640-699,80-90%,20-30%,FL,Purchase,Primary,Single Family,Servicer B,2023-02-26
L_0128,55200.0,4.81,<640,60-80%,30-40%,NY,Purchase,Primary,Single Family,Servicer A,2023-04-28
L_0129,433100.0,3.86,760+,<60%,20-30%,MI,Refinance,Primary,Single Family,Servicer D,2023-02-14
L_0130,363100.0,4.46,760+,<60%,<20%,CA,Refinance,Primary,Single Family,Servicer D,2023-06-10
L_0131,216600.0,6.67,760+,80-90%,30-40%,MI,Purchase,Primary,Single Family,Servicer C,2023-05-25
L_0132,139900.0,2.58,760+,80-90%,>40%,FL,Purchase,Primary,Single Family,Servicer D,2023-01-04
L_0133,303200.0,3.14,700-759,60-80%,20-30%,TX,Purchase,Primary,Single Family,Servicer B,2023-05-28
L_0134,757200.0,2.75,760+,60-80%,<20%,TX,Refinance,Primary,Multi-family,Servicer B,2023-02-16
L_0135,292400.0,2.72,760+,80-90%,20-30%,CA,Refinance,Secondary,Single Family,Servicer A,2023-05-23
L_0136,439100.0,7.21,760+,60-80%,<20%,GA,Purchase,Primary,Multi-family,Servicer A,2023-02-16
L_0137,577300.0,6.37,640-699,80-90%,>40%,FL,Cash-out Refinance,Primary,Single Family,Servicer D,2023-03-19
L_0138,322700.0,5.11,700-759,60-80%,<20%,FL,Purchase,Primary,Single Family,Servicer C,2023-05-04
L_0139,778800.0,3.04,<640,60-80%,30-40%,PA,Purchase,Primary,Single Family,Servicer D,2023-03-16
L_0140,771800.0,5.2,760+,60-80%,20-30%,GA,Refinance,Primary,Single Family,Servicer D,2023-04-13
L_0141,238800.0,5.1,700-759,60-80%,30-40%,NC,Refinance,Primary,Single Family,Servicer D,2023-05-17
L_0142,422900.0,3.45,640-699,80-90%,30-40%,NC,Refinance,Primary,Single Family,Servicer D,2023-03-31
L_0143,275700.0,4.89,700-759,60-80%,30-40%,NY,Refinance,Primary,Single Family,Servicer B,2023-05-24
L_0144,263600.0,4.69,700-759,60-80%,20-30%,IL,Purchase,Primary,Single Family,Servicer C,2023-03-10
L_0145,77700.0,5.89,640-699,80-90%,<20%,TX,Refinance,Secondary,Single Family,Servicer B,2023-03-02
L_0146,507200.0,5.99,<640,60-80%,<20%,NC,Purchase,Secondary,Single Family,Servicer C,2023-05-18
L_0147,427000.0,2.75,700-759,60-80%,>40%,GA,Refinance,Secondary,Single Family,Servicer A,2023-02-19
L_0148,88600.0,4.56,700-759,>90%,>40%,FL,Purchase,Investment,Condo,Servicer D,2023-01-03
L_0149,259000.0,5.94,760+,80-90%,30-40%,NC,Refinance,Primary,Single Family,Servicer B,2023-04-17
L_0150,731200.0,5.27,700-759,<60%,30-40%,FL,Purchase,Primary,Single Family,Servicer C,2023-04-23
L_0151,229700.0,7.21,760+,>90%,30-40%,NC,Refinance,Primary,Multi-family,Servicer A,2023-04-04
L_0152,158700.0,6.12,700-759,80-90%,<20%,TX,Purchase,Primary,Single Family,Servicer A,2023-04-28
L_0153,417100.0,3.4,700-759,60-80%,>40%,MI,Refinance,Secondary,Single Family,Servicer D,2023-03-22
L_0154,789200.0,2.89,760+,<60%,20-30%,NC,Purchase,Primary,Multi-family,Servicer C,2023-04-19
L_0155,231500.0,6.03,700-759,80-90%,20-30%,GA,Purchase,Investment,Single Family,Servicer B,2023-02-20
L_0156,554100.0,2.65,<640,80-90%,20-30%,NC,Purchase,Primary,Single Family,Servicer D,2023-05-27
L_0157,621200.0,5.72,<640,60-80%,<20%,IL,Purchase,Investment,Single Family,Servicer B,2023-06-19
L_0158,228200.0,7.67,760+,80-90%,<20%,TX,Refinance,Primary,Single Family,Servicer A,2023-02-04
L_0159,596200.0,5.67,700-759,80-90%,30-40%,GA,Purchase,Primary,Single Family,Servicer B,2023-02-15
L_0160,325800.0,4.63,700-759,<60%,<20%,PA,Cash-out Refinance,Primary,Single Family,Servicer B,2023-06-03
L_0161,524200.0,6.04,640-699,60-80%,30-40%,GA,Purchase,Primary,Single Family,Servicer D,2023-03-10
L_0162,525100.0,5.02,<640,60-80%,20-30%,IL,Purchase,Primary,Single Family,Servicer B,2023-04-03
L_0163,451800.0,5.5,<640,80-90%,20-30%,MI,Refinance,Primary,Multi-family,Servicer D,2023-03-05
L_0164,117700.0,7.68,640-699,<60%,20-30%,TX,Refinance,Secondary,Condo,Servicer A,2023-06-14
L_0165,676500.0,4.62,700-759,60-80%,20-30%,PA,Purchase,Primary,Single Family,Servicer D,2023-02-18
L_0166,290600.0,7.79,640-699,80-90%,30-40%,IL,Purchase,Primary,Single Family,Servicer D,2023-05-29
L_0167,189900.0,7.48,700-759,80-90%,20-30%,IL,Refinance,Primary,Single Family,Servicer C,2023-03-15
L_0168,80600.0,3.58,760+,60-80%,30-40%,CA,Purchase,Secondary,Single Family,Servicer B,2023-01-05
L_0169,493200.0,2.88,640-699,80-90%,20-30%,TX,Cash-out Refinance,Primary,Single Family,Servicer A,2023-04-10
L_0170,558200.0,3.05,700-759,<60%,30-40%,GA,Cash-out Refinance,Primary,Single Family,Servicer D,2023-03-11
L_0171,62400.0,2.6,760+,80-90%,>40%,FL,Refinance,Primary,Townhouse,Servicer A,2023-03-31
L_0172,434100.0,3.02,640-699,<60%,30-40%,MI,Purchase,Primary,Single Family,Servicer C,2023-01-04
L_0173,219900.0,6.26,700-759,60-80%,20-30%,FL,Refinance,Primary,Single Family,Servicer B,2023-05-06
L_0174,533900.0,2.89,760+,80-90%,<20%,GA,Purchase,Primary,Single Family,Servicer D,2023-02-08
L_0175,180800.0,4.25,760+,<60%,20-30%,GA,Purchase,Primary,Single Family,Servicer B,2023-06-12
L_0176,568200.0,7.15,<640,60-80%,30-40%,TX,Purchase,Secondary,Condo,Servicer C,2023-05-09
L_0177,340100.0,2.63,760+,80-90%,<20%,GA,Purchase,Primary,Condo,Servicer C,2023-01-24
L_0178,752500.0,6.98,700-759,80-90%,20-30%,CA,Refinance,Primary,Condo,Servicer A,2023-02-26
L_0179,153100.0,4.05,640-699,80-90%,30-40%,PA,Refinance,Primary,Single Family,Servicer D,2023-04-10
L_0180,305800.0,3.15,700-759,80-90%,20-30%,GA,Refinance,Investment,Single Family,Servicer A,2023-03-11
L_0181,135100.0,6.33,760+,60-80%,30-40%,FL,Purchase,Primary,Single Family,Servicer C,2023-02-10
L_0182,743500.0,5.96,700-759,60-80%,<20%,GA,Purchase,Secondary,Single Family,Servicer B,2023-06-23
L_0183,708000.0,7.33,640-699,60-80%,<20%,CA,Purchase,Primary,Single Family,Servicer A,2023-03-01
L_0184,243500.0,6.54,700-759,<60%,30-40%,NC,Cash-out Refinance,Primary,Condo,Servicer A,2023-04-18
L_0185,545000.0,6.92,640-699,>90%,20-30%,NC,Purchase,Primary,Single Family,Servicer B,2023-02-26
L_0186,662900.0,4.05,<640,60-80%,30-40%,IL,Refinance,Investment,Single Family,Servicer A,2023-01-31
L_0187,466400.0,3.48,<640,60-80%,20-30%,MI,Purchase,Primary,Single Family,Servicer B,2023-03-25
L_0188,447200.0,6.63,<640,60-80%,20-30%,NY,Purchase,Secondary,Single Family,Servicer D,2023-06-01
L_0189,231400.0,6.94,640-699,>90%,30-40%,PA,Refinance,Secondary,Single Family,Servicer B,2023-02-05
L_0190,119800.0,7.95,<640,<60%,30-40%,OH,Purchase,Primary,Multi-family,Servicer D,2023-06-07
L_0191,722900.0,4.77,700-759,60-80%,30-40%,IL,Refinance,Primary,Condo,Servicer B,2023-06-01
L_0192,725300.0,4.55,640-699,60-80%,20-30%,MI,Cash-out Refinance,Primary,Multi-family,Servicer C,2023-04-18
L_0193,524800.0,6.77,640-699,80-90%,30-40%,NC,Purchase,Primary,Single Family,Servicer C,2023-04-16
L_0194,304300.0,4.37,760+,<60%,20-30%,FL,Purchase,Secondary,Single Family,Servicer D,2023-06-07
L_0195,311900.0,7.62,700-759,80-90%,<20%,OH,Purchase,Investment,Single Family,Servicer D,2023-03-27
L_0196,594500.0,7.22,700-759,>90%,>40%,MI,Cash-out Refinance,Primary,Single Family,Servicer C,2023-05-15
L_0197,722800.0,4.86,640-699,60-80%,<20%,MI,Purchase,Primary,Condo,Servicer D,2023-06-12
L_0198,715300.0,6.63,640-699,80-90%,>40%,IL,Refinance,Secondary,Single Family,Servicer B,2023-01-14
L_0199,634900.0,6.65,<640,>90%,20-30%,OH,Refinance,Primary,Single Family,Servicer B,2023-04-30
